CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
774,France,Female,26,5,0.0,2,1,1,64716.08
602,Germany,Female,42,6,158414.85,1,1,1,131886.46
716,France,Female,38,1,0.0,2,1,1,99661.46
601,Spain,Female,20,9,122446.61,2,1,0,86791.9
585,France,Male,54,8,87105.32,1,1,1,55346.14
661,France,Male,48,3,120320.54,1,0,0,96463.25
643,France,Male,34,7,0.0,2,0,1,100304.13
780,Germany,Male,51,4,126725.25,1,1,0,195259.31
809,France,Female,39,5,0.0,1,1,0,77705.75
824,France,Male,45,3,129209.48,1,0,0,60151.77
629,Spain,Male,41,10,150148.51,1,0,0,6936.27
814,Germany,Male,44,8,95488.82,2,0,0,107013.59
686,Spain,Male,34,9,0.0,2,1,0,127569.8
546,France,Male,24,8,156325.38,1,1,1,125381.02
626,France,Female,52,0,0.0,2,1,0,32159.46
683,France,Female,26,7,0.0,2,1,0,86619.77
670,France,Male,36,7,0.0,2,0,0,59571.5
757,France,Male,36,7,144852.06,1,0,0,130861.95
682,Germany,Male,24,9,57929.81,2,0,0,53134.3
514,Germany,Female,45,3,109032.23,1,0,1,155407.21
733,Germany,Male,40,5,125725.02,2,1,1,50783.1
770,France,Female,68,2,183555.24,1,0,0,159557.28
486,France,Female,39,8,97819.36,1,0,1,120531.31
668,France,Male,38,10,86977.96,1,0,1,37094.75
535,Germany,Female,53,5,141616.55,2,1,1,75888.65
640,Germany,Male,26,5,90402.77,1,1,1,3298.65
805,France,Male,46,6,118022.06,3,1,0,162643.15
705,France,Female,24,7,100169.51,1,1,0,121408.55
586,Spain,Female,33,7,0.0,2,1,1,168261.4
550,Spain,Male,34,3,0.0,2,0,0,131281.28
699,France,Male,40,7,0.0,1,0,1,152876.13
588,France,Male,32,1,0.0,2,1,1,8763.87
779,Spain,Female,26,4,174318.13,2,0,1,38296.21
658,Spain,Male,21,7,0.0,2,0,1,154279.87
718,Spain,Female,39,2,0.0,1,1,1,52138.49
640,France,Male,44,3,137148.68,1,1,0,92381.01
695,France,Male,36,6,114007.5,2,1,0,118120.88
627,Spain,Male,49,4,111087.5,1,0,1,146680.25
778,Spain,Male,40,8,104291.41,2,1,1,117507.11
534,France,Male,38,3,0.0,1,0,0,143938.27
743,France,Female,46,9,0.0,1,1,0,113436.08
562,Spain,Female,29,9,120307.58,1,1,1,6795.61
573,Spain,Male,56,3,154669.77,1,0,1,115462.27
639,Spain,Female,54,2,0.0,2,1,1,53843.71
824,Germany,Male,49,8,133231.48,1,1,1,67885.37
685,Spain,Female,30,2,0.0,3,1,1,172576.43
699,Spain,Male,43,2,136487.86,2,1,0,82815.93
613,France,Female,46,8,167795.6,1,0,1,44390.38
645,France,Female,45,8,85325.93,1,0,0,22558.74
567,France,Female,38,1,125877.65,2,1,1,107841.77
536,France,Male,32,7,178011.5,2,1,0,22375.14
616,Spain,Male,31,7,76665.71,2,1,1,163809.08
638,France,Male,41,1,131762.94,1,1,1,47675.29
743,France,Male,36,4,0.0,2,1,1,190911.02
794,France,Male,35,6,0.0,2,1,1,68730.91
641,France,Male,33,2,146193.6,2,1,1,55796.83
742,France,Female,28,2,191864.51,1,1,0,108457.99
445,France,Male,31,7,145056.59,1,1,1,175893.53
625,Germany,Female,37,4,142711.81,1,1,0,35625.41
802,Germany,Male,31,1,125013.72,1,1,1,187658.09
614,France,Female,19,5,97445.49,2,1,0,122823.34
521,France,Female,39,6,0.0,2,0,1,27375.15
850,France,Male,58,8,156652.13,1,0,0,25899.21
826,France,Female,30,5,0.0,2,0,1,157397.57
695,France,Male,46,4,0.0,2,1,1,137537.22
496,Spain,Male,29,2,0.0,2,1,0,55389.59
550,Germany,Female,42,10,128707.31,1,1,0,63092.65
834,Spain,Male,34,5,0.0,2,0,0,53437.1
577,Spain,Male,28,7,0.0,1,1,0,143274.41
744,Spain,Female,26,5,166297.89,1,1,1,181694.44
565,France,Male,38,5,0.0,2,0,1,80630.32
501,France,Male,37,4,0.0,2,0,0,12470.3
841,France,Male,31,2,0.0,2,1,0,173240.52
670,Spain,Female,29,9,0.0,2,1,0,27359.19
796,France,Female,45,2,109730.22,1,1,1,123882.73
558,Spain,Male,40,4,161766.87,1,0,0,92378.54
537,Germany,Male,84,8,92242.34,1,1,1,186235.98
625,Spain,Female,57,7,0.0,1,0,0,84106.17
598,France,Female,40,9,0.0,1,1,0,68462.59
775,France,Male,45,8,0.0,1,1,0,130376.68
498,Germany,Female,44,2,120702.67,2,1,1,98175.74
633,France,Female,39,9,129189.15,2,0,0,170998.83
618,Germany,Female,40,1,133245.52,2,1,1,54495.82
602,Germany,Male,35,7,90602.42,2,1,1,51695.41
573,France,Female,47,8,154543.98,1,1,0,29586.73
560,Spain,Male,47,1,0.0,1,0,0,128882.66
490,Spain,Male,40,6,156111.08,1,0,0,190889.13
578,France,Female,35,2,0.0,2,0,1,26389.92
470,Spain,Male,31,4,55732.92,2,1,1,103792.53
650,Germany,Female,25,2,114330.95,1,1,1,25325.07
520,France,Female,38,4,0.0,2,1,0,56388.63
702,France,Male,37,10,150525.8,1,1,1,94728.49
674,France,Male,22,3,0.0,1,1,1,173940.59
504,France,Female,32,8,206663.75,1,0,0,16281.94
747,Spain,Female,41,5,94521.17,2,1,0,194926.86
544,France,Male,44,1,0.0,2,0,0,69244.24
515,France,Male,48,5,129387.94,1,0,1,147955.91
850,France,Female,37,9,0.0,1,0,0,100101.06
707,Spain,Male,48,8,88441.64,1,1,1,119903.2
521,France,Female,77,6,0.0,2,1,1,49054.1
727,Germany,Male,21,8,153344.72,1,1,1,163295.87
850,Germany,Male,32,2,128647.98,2,0,0,54416.18
672,France,Female,53,7,0.0,1,1,1,136910.18
620,France,Male,42,4,0.0,2,1,0,6232.31
534,Spain,Male,35,4,0.0,2,0,0,9541.15
531,France,Female,42,2,0.0,2,0,1,90537.47
850,France,Male,32,4,0.0,1,1,1,180622.02
579,Spain,Male,33,6,0.0,1,1,0,94993.04
611,France,Female,37,6,0.0,2,1,0,110782.88
850,Spain,Female,29,10,0.0,2,1,1,94815.04
686,Germany,Female,43,5,154846.24,2,1,1,151903.6
762,Germany,Female,34,8,98592.88,1,0,1,191790.29
669,Germany,Male,45,1,123949.75,1,0,0,110881.56
616,Germany,Female,43,7,95984.21,1,0,1,115262.54
786,Germany,Female,32,2,104336.43,2,0,0,59559.81
639,France,Male,66,0,0.0,2,0,1,42240.54
699,France,Male,37,10,0.0,2,0,0,83263.04
676,Germany,Male,28,1,69459.05,2,1,1,128461.29
579,Spain,Female,31,9,0.0,2,1,0,112395.98
622,France,Female,35,5,0.0,2,1,0,51112.8
554,Spain,Male,46,4,0.0,2,0,1,57320.92
696,Spain,Female,43,4,0.0,2,1,1,66406.37
711,Germany,Female,45,1,97486.15,2,1,0,50610.62
475,France,Male,39,6,0.0,1,1,1,56999.9
750,Spain,Female,37,2,113817.06,1,0,0,88333.74
548,France,Female,32,2,172448.77,1,1,0,188083.77
626,Germany,Female,47,2,103108.8,1,0,1,166475.44
745,France,Male,47,5,0.0,2,0,0,145789.71
676,Germany,Female,48,2,124442.38,1,1,0,15068.53
562,France,Male,30,3,111099.79,2,0,0,140650.19
465,France,Male,41,9,117221.15,1,1,0,168280.95
725,France,Female,25,9,0.0,2,1,1,168607.74
591,Spain,Male,31,8,0.0,1,1,1,141677.33
532,Spain,Female,66,3,0.0,1,1,1,115227.02
706,France,Male,30,3,98415.37,1,1,1,110520.48
717,France,Female,36,5,0.0,2,1,1,145551.6
590,Spain,Female,38,9,0.0,2,1,1,148750.16
640,Spain,Male,37,5,158024.38,1,1,0,81298.09
437,France,Female,43,6,0.0,1,1,0,148330.97
652,France,Female,80,4,0.0,2,1,1,188603.07
698,Germany,Male,55,8,155059.1,2,1,1,144584.29
565,France,Male,34,6,0.0,1,1,1,63173.64
715,Germany,Female,34,9,102277.52,1,0,0,177852.57
767,France,Male,36,3,139180.2,1,0,0,123880.19
619,Spain,Female,45,0,0.0,2,0,0,113645.4
703,France,Female,51,3,0.0,3,1,1,77294.56
759,Spain,Female,35,7,147936.42,1,1,1,106785.7
642,France,Male,35,4,125476.31,1,1,1,91775.51
704,Germany,Female,39,1,124640.51,1,1,0,116511.12
479,Spain,Male,48,5,87070.23,1,0,1,85646.41
753,France,Male,92,3,121513.31,1,0,1,195563.99
492,Germany,Male,45,9,170295.04,2,0,0,164741.81
850,France,Female,34,9,92899.27,2,1,0,97465.89
619,Spain,Female,38,1,0.0,1,1,0,112442.63
712,France,Female,37,1,106881.5,2,0,0,169386.81
531,Spain,Female,36,9,99240.51,1,1,0,123137.01
677,Spain,Male,18,8,134796.87,2,1,1,114858.9
819,Germany,Female,49,1,120656.86,4,0,0,166164.3
770,France,Female,30,8,0.0,2,1,0,100557.03
506,Spain,Male,32,8,0.0,2,0,1,182692.8
766,Germany,Female,62,7,142724.48,1,0,1,5893.23
499,Germany,Female,55,4,126817.65,2,1,0,123269.71
468,France,Male,36,3,61636.97,1,0,0,107787.42
632,Spain,Female,40,3,109740.62,1,1,0,141896.74
685,Spain,Male,34,6,83264.28,1,0,0,9663.28
514,France,Male,32,8,0.0,2,1,0,95857.18
584,Spain,Female,37,8,0.0,2,0,1,100835.19
642,France,Male,38,3,0.0,2,0,0,171463.83
810,France,Female,51,5,0.0,2,0,1,184524.74
546,France,Male,29,5,0.0,1,1,1,94823.95
759,France,Female,39,6,0.0,2,1,1,140497.67
519,France,Male,42,8,0.0,2,1,1,101485.72
592,Spain,Male,45,8,84692.5,1,0,1,67214.02
698,France,Female,27,1,94920.71,1,1,1,40339.9
645,France,Male,41,7,0.0,1,0,1,28667.56
754,Germany,Female,55,3,161608.81,1,1,0,8080.85
477,Germany,Female,58,8,145984.92,1,1,1,24564.7
629,France,Male,32,2,0.0,2,0,1,77965.44
587,Spain,Male,45,6,0.0,1,0,0,158684.81
681,Germany,Female,44,3,105206.7,2,1,1,163558.36
745,France,Female,36,9,0.0,1,1,0,19605.18
701,France,Male,39,2,0.0,2,1,1,82526.92
553,France,Male,31,6,0.0,2,0,0,124596.63
559,France,Female,46,5,0.0,1,1,0,21006.1
703,Spain,Male,31,6,0.0,2,1,1,67667.19
689,Germany,Male,47,2,118812.5,2,0,0,31121.42
580,Spain,Male,61,8,125921.37,1,1,1,94677.83
678,Germany,Female,44,2,98009.13,2,0,1,31384.86
594,Germany,Male,28,0,142574.71,2,1,0,129084.82
665,France,Female,37,5,160389.82,1,0,1,183542.08
460,Germany,Female,35,8,102742.91,2,1,1,189339.6
584,Germany,Female,41,3,88594.93,1,1,0,178997.89
770,Spain,Male,55,9,63127.41,2,1,0,185211.28
798,France,Male,37,8,0.0,3,0,0,110783.28
646,France,Female,73,6,97259.25,1,0,1,104719.66
721,Spain,Female,33,4,72535.45,1,1,1,103931.49
700,Germany,Female,39,5,144550.83,2,1,1,189664.43
714,France,Male,35,3,0.0,2,1,1,95623.28
651,Spain,Male,42,2,143145.87,2,1,0,43612.06
802,Germany,Female,41,4,90757.64,2,0,1,169183.66
638,France,Male,36,6,188455.19,1,0,0,47031.4
718,Spain,Male,32,8,0.0,2,1,1,41399.33
502,Germany,Male,33,5,174673.65,2,1,0,33300.56
658,Spain,Female,31,2,36566.96,1,1,0,103644.98
753,France,Female,40,0,3768.69,2,1,0,177065.24
727,Spain,Female,52,1,154733.97,1,1,0,80259.67
555,Germany,Female,51,9,138214.5,1,1,0,198715.27
656,Spain,Female,40,10,167878.5,1,0,1,151887.16
663,France,Male,46,3,0.0,2,0,1,176276.1
575,France,Male,36,1,0.0,1,0,1,94570.56
708,Spain,Male,40,8,83015.71,1,1,0,101089.76
554,Spain,Female,34,8,0.0,1,0,1,106981.03
726,France,Male,34,3,0.0,2,1,0,196288.46
708,France,Female,44,2,161887.81,2,1,0,84870.23
625,France,Male,34,6,0.0,2,0,0,197283.2
489,Germany,Female,52,1,131441.51,1,1,0,37240.11
760,Germany,Male,42,0,77992.97,2,1,1,97906.38
720,Germany,Female,57,1,162082.31,4,0,0,27145.73
582,France,Female,39,1,132077.48,2,1,0,192255.15
547,Germany,Male,49,8,121537.71,2,1,0,46521.45
738,France,Male,31,9,82674.15,1,1,0,41970.72
652,France,Female,36,6,112518.71,2,0,1,110421.31
607,Spain,Male,36,8,158261.68,1,1,1,76744.72
709,France,Male,26,6,156551.63,1,0,1,4410.77
499,Spain,Female,53,1,75225.53,2,0,0,144849.1
678,France,Male,38,3,0.0,2,1,0,66561.6
430,Germany,Female,66,6,135392.31,2,1,1,172852.06
653,Germany,Male,31,9,143321.97,1,1,0,83679.46
511,France,Female,31,5,137411.29,1,0,1,161854.98
625,France,Female,44,7,0.0,1,1,0,4791.8
850,Spain,Male,30,2,0.0,2,0,1,27937.12
685,Germany,Male,38,4,111798.06,2,1,1,102184.66
663,Germany,Male,42,5,90248.79,1,1,1,79169.73
554,France,Male,33,3,117413.95,1,1,1,12766.74
680,Germany,Female,42,7,105722.69,1,1,1,90558.24
573,Spain,Female,72,8,98765.84,1,1,1,96015.53
724,France,Female,34,3,132352.69,1,1,0,80320.3
709,Germany,Male,28,8,124695.72,2,1,0,145251.35
638,Spain,Male,30,9,136808.53,2,1,1,106642.97
457,France,Male,40,10,134320.23,2,1,0,150757.35
531,Germany,Female,42,6,88324.31,2,1,0,75248.75
497,France,Male,47,6,0.0,1,1,1,90055.08
584,Germany,Female,62,9,137727.34,2,0,1,121102.9
668,Spain,Male,43,10,113034.31,1,1,1,100423.88
663,Spain,Male,31,4,103430.11,2,0,1,36479.27
828,France,Female,41,7,0.0,2,1,0,171378.77
803,Germany,Male,41,9,137742.9,2,1,1,166957.82
742,Germany,Male,55,5,155196.17,1,0,1,121207.66
553,France,Male,33,4,118082.89,1,0,0,94440.45
772,Spain,Male,30,4,78653.05,1,1,0,1790.48
762,Germany,Male,28,3,125155.83,2,1,1,106024.02
728,France,Male,33,8,129907.63,1,0,1,36083.96
648,France,Male,32,0,0.0,1,0,1,117323.31
738,Germany,Male,43,9,121152.05,2,1,0,64166.7
694,Germany,Male,31,4,141989.27,2,1,0,26116.82
583,Germany,Male,40,4,107041.3,1,1,1,5635.63
435,Germany,Male,32,2,57017.06,2,1,1,5907.11
566,France,Male,42,3,108010.78,1,1,1,157486.1
350,France,Female,60,3,0.0,1,0,0,113796.15
583,France,Male,40,3,0.0,2,1,0,47728.0
697,France,Male,27,8,141223.68,2,1,0,90591.15
669,France,Female,33,9,0.0,2,0,1,107221.03
699,France,Male,44,8,158697.61,1,1,0,107181.22
754,France,Female,47,1,185513.67,1,1,0,27438.83
705,Spain,Female,57,3,0.0,2,1,1,34134.14
672,France,Male,37,5,153195.59,1,1,1,162763.01
435,Germany,Male,37,8,114346.3,1,0,1,980.93
673,France,Male,51,8,79563.36,2,1,1,172200.91
535,France,Male,38,8,85982.07,1,1,0,9238.35
551,France,Male,42,2,139561.46,1,1,0,43435.43
643,Spain,Male,34,3,83132.09,1,1,1,21360.88
608,France,Female,30,8,0.0,2,1,0,128875.86
541,France,Female,32,4,0.0,1,1,1,114951.42
608,France,Female,41,5,0.0,2,1,1,72462.25
693,France,Female,30,6,127992.25,1,1,1,50457.2
739,Germany,Male,32,3,102128.27,1,1,0,63981.37
509,France,Female,46,1,0.0,1,1,0,71244.59
675,France,Male,54,2,0.0,1,1,0,149583.67
427,Germany,Male,42,1,75681.52,1,1,1,57098.0
682,Germany,Female,38,1,116520.28,1,1,1,49833.5
633,France,Male,25,1,0.0,1,1,0,100598.98
467,Germany,Male,51,10,114514.71,2,1,0,177784.68
621,France,Male,47,0,0.0,1,1,1,133831.37
783,Spain,Male,39,9,0.0,2,1,0,143752.77
693,France,Male,40,4,130661.96,1,1,1,101918.96
553,Spain,Female,48,3,0.0,1,0,1,30730.95
708,Germany,Female,43,0,118994.84,1,1,0,181499.77
635,Spain,Male,41,1,0.0,2,1,0,175611.5
588,France,Female,24,0,0.0,2,1,1,140586.08
590,France,Male,47,0,117879.32,1,1,1,8214.46
605,Germany,Male,28,10,113690.83,1,1,0,33114.24
561,France,Male,29,9,120268.13,1,1,1,173870.39
641,France,Male,31,9,112494.99,1,1,1,32231.6
548,France,Female,28,8,116755.5,2,1,1,158585.17
615,Spain,Male,32,5,138521.83,1,1,1,56897.1
679,France,Male,48,8,0.0,2,1,0,23344.94
667,Spain,Male,39,9,0.0,2,1,0,68873.8
775,France,Female,32,2,108698.96,2,1,1,161069.73
745,France,Male,21,4,137910.45,1,1,1,177235.23
630,France,Male,34,9,0.0,2,1,1,114006.35
580,France,Female,65,9,106804.26,3,1,0,107890.69
567,Spain,Male,29,8,0.0,2,1,0,156125.72
833,France,Male,30,1,0.0,2,1,0,141860.62
522,Spain,Male,34,9,126436.29,1,1,0,174248.52
697,France,Male,40,4,0.0,2,0,1,26543.28
850,France,Male,31,6,131996.66,2,1,1,178747.43
556,France,Female,40,9,129860.37,1,0,0,17992.94
638,Germany,Female,39,0,122501.28,2,1,1,95007.8
537,Spain,Female,38,6,141786.78,1,0,1,147797.54
652,Spain,Female,42,4,0.0,2,1,1,38152.01
797,Spain,Female,31,8,0.0,2,1,0,117916.63
540,Spain,Female,31,10,118158.74,1,1,1,158027.57
643,France,Male,33,4,0.0,2,1,1,152992.04
645,Spain,Female,21,1,0.0,2,0,0,28726.07
500,France,Male,45,2,109162.82,1,1,1,126145.08
730,France,Female,39,1,99010.67,1,1,0,194945.8
786,France,Male,37,7,165896.22,2,1,1,66977.68
651,Germany,Male,40,1,134760.21,2,0,0,174434.06
557,Spain,Male,34,3,0.0,1,0,1,123427.98
699,Germany,Female,41,1,200117.76,2,1,0,94142.35
768,France,Male,25,6,0.0,2,1,1,21215.67
807,France,Female,47,9,167664.83,1,0,0,125440.11
580,Germany,Female,38,1,128218.47,1,1,0,125953.83
678,France,Female,60,2,0.0,2,1,1,43821.56
592,France,Male,60,9,0.0,4,1,1,13614.01
762,Spain,Female,35,3,119349.69,3,1,1,47114.18
657,France,Male,38,7,0.0,2,1,0,185827.74
569,Spain,Female,34,6,144855.34,1,0,0,196555.32
510,France,Female,45,10,103821.47,2,0,1,77878.62
662,France,Female,29,10,0.0,2,1,0,137508.31
