Feature,MeanAbsSHAP
numerical__Age,0.7921361
numerical__NumOfProducts,0.7356323
categorical__Gender_Male,0.24173032
categorical__Geography_Germany,0.23188584
numerical__ActiveAge,0.1558559
numerical__IsActiveMember,0.11553508
numerical__ActiveTenure,0.10289786
numerical__Balance,0.09925319
numerical__ZeroBalance,0.08676266
numerical__BalancePerProduct,0.08560379
numerical__BalanceSalaryRatio,0.079042785
numerical__CreditAgeInteraction,0.074065104
numerical__EstimatedSalary,0.065794885
numerical__CreditScore,0.06293898
numerical__SalaryPerProduct,0.047690816
numerical__TenureAgeRatio,0.030487776
numerical__ProductsActive,0.025167441
numerical__HasCrCard,0.014292917
numerical__Tenure,0.008159278
categorical__Geography_Spain,0.006674864
